"Novel Name","Genre",Tags,"Image Link","Synopsis"
"Her Triplet Alphas","Werewolf Romance","alpha,escape while being pregnant,mate,luna,bxg,werewolves,ABO,abuse,enimies to lovers,harem","https://files.dreame.com/images/2020/11/09/13256427573642977285fa8b8a5add51.png@208w_300h_2e_53287592837a.webp","Chasity has spent years being picked on by the identical Triplets: Alpha Alex, Alpha Felix and Alpha Calix Thorn. They’re rich, handsome and popular werewolves and they make sure Chasity knows she is a poor, ""fat"" and unpopular she-wolf. The boys pull her golden curls and mock her every move, nicknaming her ChaRity because she was taken into the pack house when left behind by her gambling, drug-addict parents. She cooks and cleans for free to pay off the debts incurred by her parents to the wolf pack. She’s relieved to count down the days to her eighteenth birthday when she can leave her pack behind forever. The last thing on her mind is finding out who her mate is when she comes of age. On her birthday, she is horrified to discover that her former tormenters, the Alpha Triplets, are her fated mates, all three of them. She has seven more months of hell aka high school before she can flee. The Triplets who are filled with remorse and lust for their little mate are determined to spend the next seven months convincing her to stay. Is it too little too late or will their happily ever after be just right?

Formerly Called: Goldilocks and the Triplet Alphas"
"Second Chance Luna","Werewolf Romance","alpha,HE,fated,submissive,drama,bxg,pack","https://assets.dreame.com/cover/2024/02/14/175763167476327219265cc49ad61efb.png@.webp","Phoebe had been raised on stories of the magical moment when she would meet her fated mate, the one destined to be her partner forever. She grew up watching her parents’ great love and knew it wasn’t just wishful thinking. However dreams and reality prove to be very different when she meets her mate: Graham, future Alpha of the Rimrock Pack. He rejects her and leaves her without a backward glance.

He rejected her because he thought she was weak, wolfless. Little does he know it is all a façade. Phoebe’s wolf is unlike any other. She is a silver wolf, the very incarnation of the Moon Goddess herself, and destined to change the world they know.

Living in the shadow of her former mate Phoebe remains with her pack making her own place among the others by taking care of their pups. If this is the life she was given she is determined to make the most of it despite the continued ridicule she receives as her wolf insists they must be discrete and refuses to come forward. Destiny; however, has not forgotten them and rears its head again when her second chance mate appears.

Jason, Alpha of the Blue Moon Pack, one of the six ancient and most powerful of all packs, has been searching in vain for his Luna for nearly a decade. He is on the verge of giving up when a security check has him setting foot on the Rimrock pack lands. Her scent tantalizes him. Her beauty and grace leave him speechless. His mate. His Luna. But first he has to convince her he wants only her.

Can this newly formed power couple truly change the world? Just what destiny awaits them when Phoebe’s wolf is revealed? When even the royal family stands against them is their love strong enough to overcome and bring the new dawn?"
"Coming Home For Christmas","Billionaire Romance","HE,escape while being pregnant,badboy,powerful,independent,boss,heir/heiress,sweet,bxg,bxb,mystery,genius,loser,secrets,office lady,actor,lawyer,seductive","https://assets.dreame.com/cover/2024/02/07/175505188611105177665c2e70f2b2be.png@.webp","Six years ago, Lacey Carpenter was living the dream.

She had been accepted into a top New York college to study teaching and she was engaged to marry her childhood sweetheart Dylan Tate but her perfect life and perfectly planned future came crashing down when she caught Dylan cheating on her with her brother Luca and to make matters worse she went to drown her sorrows at a local bar only to end up in bed with her brothers best friend Logan Black.

Unable to stay in New York City anymore, Lacey ran away and for the past six years, she's been living in London England under the name Lacey Wright with her kids and best friend Carmella.

How is Lacey going to react when the holidays arrive and she's stuck between whether or not she should stay in London or go home to New York?.

Will she finally decide to go back home and confront her past?.

How will she react when she sees Logan again and he confesses his love for her?.

Will she believe him when he says he didn't know she was the one he'd had s*x with? and will she allow him to be a part of their baby's lives?.

Will Luca and Dylan's betrayal ultimately turn out to be a blessing in disguise for her?

But most importantly, can Lacey let go of the past, forgive her family and enjoy a happy family Christmas with the ones she loves the most? only time will tell."
"The Heartless Alpha","Werewolf Romance","alpha,fated,self-improved,drama,bxg,pack,abuse,enimies to lovers,first love,cruel","https://assets.dreame.com/cover/2023/07/11/167868477184247398464ad14a47482c.png@.webp","Lily was five years old when she entered the Snow Moon Pack. She has no memory of her previous life, or which pack she came from. Found in the middle of the night raiding the packhouse kitchen for food, she was taken in by the reigning Alpha and Luna. However, she is far from being treated as a pack member. Her whole life she was subjected to punishment and abuse, made to work as a slave for the pack. Her wolf, Aya, is her only friend.

Dimitri Varlos is the Alpha of the Blood Moon Pack. He is known for being heartless, cruel, merciless; A bloodthirsty killer. Years of not being able to find his fated mate have led him to believe the Moon Goddess, Mother of Wolves, does not intend to gift him with one. Until the night he meets Lily, and his world will change forever.

She is rebellious. Headstrong. She tests his patience like no other before. Will Lily accept the supposed cruelest Alpha alive to be her mate? Will Demitri prove he can be what she deserves? Or will jealousy, rivals, and lies tear them apart?

Book 2- MIDNIGHT WOLF

Violet and Garrett, twins to Alpha Dimitri and Luna Lily, are finally coming of age. But nobody expects what happens when they shift for the first time. A new type of wolf emerges, causing a rift in the twins relationship. What's more, Garrett is Hell bent on stopping his sister and her mate from being together. But a danger bigger than their problems is just over the horizon, waiting. Violet and Garrett will have to find a way to put aside their differences, and work together to save Blood Moon. After all, family is what matters most, and the bond between the two will open up a world full of possibilities."
"The Guardian Wolf and her Alpha Mate","Werewolf Romance","alpha,shifter,beta,drama,brilliant,campus,musclebear,tricky","https://assets.dreame.com/cover/2024/01/31/175260283946289971265b9fe359fcef.png@.webp","(Book 1)

Nova is a blessed she wolf destined for great things, but when she has to deal with her mates betrayal she has the option to let it break her or make her. Putting others before her has always been the priority but now is it time to make the decision to help herself for the good of those around her?

To continue Nova & Jax’s story please read:

The Blessed Ones - A Blessing or a Curse?"
"Fated is overrated","Romance","shifter","https://assets.dreame.com/cover/2024/03/15/176855591888867737665f407ab367a0.png@.webp","*18+ content included!* also trigger warnings for sensitive topics

If you are looking for a story with a submissive, all-forgiving female lead, this is not the novel for you.

*****

She smirks, before asking “do you like that, my little mate?”. I’m too far gone to even care about the “little” part now, all I want is her tongue back where it was a second ago. “Yes..” I manage to breathe out, before she licks it again, and shortly wraps her lips around my tip. F*ck. I moan, shivering when she pulls back. “Say please, my little mate” she taunts, her eyes still glued to mine and her hand still pleasuring me. “Please Lola” I breathe out. And just like that, she wraps her mouth around the tip, before taking in my c*ck until it hits the back of her throat. We both moan loudly, and I close my eyes momentarily in pure ecstasy. I almost whimper when she pulls it out again to say “look at me while I please you”. I comply immediately, and she grins before continuing her delicious torture. Her other hand moves to play with my balls and I know I’m not going to last long. I’m panting and moaning like a hot mess, when I hear Lola’s moaning increase.

I quickly avert my eyes back to Lola’s, not wanting to risk her to stop as I am so close to coming undone now. I can’t believe this is all happening. “I… I’m cumming” I croak out, when I feel I’m about to topple over. She pulls her mouth off, and immediately places my c*ck between her perfect breasts. Goddess this is hot. I move up and down slowly, as my c*m starts to cover her breasts. “F*ck you are perfect” I breathe out in between my pants and moans. Lola is moaning louder and louder, as she is probably on the verge as well.

*****

Lola is an omega within the Red Dagger pack. She was found as a baby abandoned in the woods by her adoptive mother, who has long passed by now. Lola is not your typical submissive she wolf. She is sassy, with anger issues bubbling just beneath the surface. With her curvy body, blonde hair and green eyes she is the total opposite of all the other wolves appearance wise. And as a result, is treated like an outcast after her best friend Chris – the alpha heir – turns on her without warning as young children. Ignored by almost everyone and bullied and beaten by her former best friend and his gang daily, Lola long awaits the day and year she turns 18 when she gets her wolf and is able to finish high school to leave Red Dagger. All she has to do is withstand one more schoolyear of it all, despite the constant desire to fight back and the struggles to reign in her anger. But what happens when the bucket runs over and her restraint finally snaps? What happens when she faces off those who have tormented her for years, thinking she is a weak little girl, although she has been secretly training hard for years on her own?

As the story unfolds, she will come across those who desire her as well as her fated mates – the Lycan princes. Lola has never wanted a mate and after all betrayals is reluctant to trust anyone anymore – but will she let any of them in eventually? And what happens when her wolf is revealed and her origins are questioned when she gains special powers? Will she find her happy ever after with a mate, her fated mates, or stay alone?"
"I Want You Back","Romance","others,possessive,sex,drama,city,secrets,seductive","https://files.dreame.com/0/icon/s-4724e3a2bad19ae73a839fe39f39ef1b/1710745623.jpg@208w_300h_2e_53287592837a.webp","This book is an English translation of ""Te Quiero de Vuelta."", originally written by the well-known Dreame Spanish author Monik AB.

Link to the original book:：https://www.dreame.com/story/3728482816-te-quiero-de-vuelta-

I was forced to marry the coldest, most ruthless, and most arrogant billionaire man in the entire country just because of a contract my father made. He married me because of what my family represents. With recognition, social status, respect, and power, our companies merged, becoming the most powerful in the entire business community. We are partners with the same duties and rights. There is nothing better than a wedding between the most powerful families in the country, but there's only one problem: Angel Leffman hates me. I am the woman who ruined his life, and I'm just his wife in the contract. We barely exchanged words, and when we did, we argued like cats and dogs who couldn't stand each other, but in front of the country, we were the perfect couple. Now he has everything; he doesn't need me anymore and wants a divorce. But there is a bigger problem... I have always loved him, but my pride is worth more than him.

My family was the most powerful, along with hers, but we did not have the business power that their name alone gave us. That did not matter to me in the least, but for my family, it did. I was in love with the perfect woman in the world, but that changed when I was forced to marry the most stubborn, proud, and cold woman, Sofia Andrew. We have been living a farce of a marriage for five years, but now that I have everything, I don't need her anymore. Elisa, the woman I love, is back, and she is getting in my way. It's time to change things, get her out of my life, and start a new life with Elisa, but it's not as easy as it sounds.

She loves him, but he will never know, as he always despises her for something she didn't do. He hates her, so how can he forgive what she did? How can he possibly love her after that?

Marriage wasn't their beginning, and divorce wasn't their end because their story was just about to begin.

You can find Monik AB by the following ways:

https://www.dreame.com/author/1731527680-monik-ab.html

x: @Monik_A_B ///// IXXXXS: monik.a.b

The original book (in Spanish) is now published in paperback."
"The Unwanted Bride Of Atticus Fawn","Romance","billionaire,possessive,arranged marriage,shifter,dominant,billionairess,drama,bxg,magical world,gorgeous","https://files.dreame.com/images/2022/07/22/155038237210369638462da51b8f3dcf.png@208w_300h_2e_53287592837a.webp","""Find out what?"" he asks. ""That I'm getting married to a woman I don't want to marry?""

I fight the ache in my heart at his question. I knew he didn't want to marry me. He wasn't the one in love. I was. And he didn't know how much I loved him. I've hidden it well.

""She's right there."" His mother snaps. ""Have some respect for your future wife and the future daughter-in-law of this family.""

Atticus takes a step toward his mother; his eyes flash with anger as he says, ""the only woman I will marry is Anya. No one else.""

. . . . . . . . . . .

Atticus Fawn is petrified when he finds out he has to marry the best friend of his mate. He tries to escape the wedding but eventually realizes that it is useless to do so. He knows that he can never love another woman like he loves Anya. And definitely not Autumn Rivera. He's, however, unprepared for her gentleness and her caring nature. Before he knows it, she's forcing her way into his life, and if he's not careful—his heart."
"Her Promise","Werewolf Romance","alpha,HE,love after marriage,fated,powerful,drama,bxg,campus,pack,another world","https://assets.dreame.com/cover/2024/02/28/176272494734200422465ded12763bcc.png@.webp","Find the entire Her series right here!

Book 1 Her Promise (Missy and Maddox) - Complete

The adopted daughter of a powerful Alpha, Missy never guessed she would one day be asked to take over a neighboring pack by her mate’s side. Being Luna had never even been a consideration for her. Now she finds herself away from home and with the stress of leading a people that aren’t hers. Life starts hitting hard as she and her mate must find ways to cope with all the new challenges post-war life brings to their new pack. Missy must remember her promise to support her pack and her mate in order to persevere and help Serenity Waters thrive once more.

Book 2 Her Fear (Lemon and Axel) - Complete

Lemon wasn’t looking for someone to keep her company. She liked her life well enough managing the Blue Moon Inn for her long-time friend, Azalea. But a certain wolf just wouldn’t leave her alone. Axel wormed his way into her heart, and she couldn’t live without him. But there was always one doubt in the back of her mind – what if Axel’s fated mate came along and he forgot all about her?

Book 3 Her Secret (Delilah, Liam Jr, and Melody) - Complete

Delilah has a secret and Mel knows what it is. Secrets don't keep when hearts are on the line.

Future Alpha Liam Blackfur Junior has always been close with his dad’s Beta’s daughter. Growing up together, they just fit. With Delilah being only a few months older than Junior, everyone thought they were inevitable.

Even though she is her father’s princess, Delilah has always been one of the guys. Growing up alongside the future Alpha of Blood Eclipse, she wondered if she was fated to be Luna.

Mel has a secret. She is terrified of anyone finding out her secret, especially the future Alpha.

When Delilah and Mel cross paths yet again, Mel will learn Delilah’s secret, changing everything for the both of them. The biggest obstacle the girls must face? The future Alpha whose onto them.

Book 4: Her Doubt (Novella; Sol and Leo) - currently updating

Nothing has gone right since her brother died. Sol has spent her entire adult life trying to live the life he intended to live. When she finds herself back in Blood Eclipse with no hope for what her life holds, she gets thrown one more hurdle.

Leo Blackfur has been compared to his brother his whole life - and found ways to rebel around it. He shows up just in time to his brother's Alpha ceremony to find he's mated to the girl he's loved his whole life. But when she's convinced this is just one more cosmic joke of fate, he bails. Years later, he returns with a renewed determination to get his mate to accept him."
"My Professor Is My Alpha Mate ","Romance","friends to lovers,pack","https://files.dreame.com/0/icon/s-93d69fce01c40b5a0e4e85154bc22f61/1697177242.jpg@208w_300h_2e_53287592837a.webp","Today I had my first kiss. It wasn’t planned. It was also with a complete stranger.

As I walked through the halls of my school, Higala Shifter Academy, I paused when a familiar sense washed over me. My boyfriend, Scott, was nearby, and he wasn’t alone.

“You are so naughty, Scott,” the she-wolf Sarah chuckled.

“Only for you, babe,” he replied, muffled as her lips closed around his.

At that moment, I felt sick to my stomach.

“Oh, Scott. Stop it. You know we can’t be seen together. What if your girlfriend finds us?”

“She’s in class. She’s never late. You don’t need to worry.”

My heart was heavy in my chest, but also a wave of fury and resentment crossed me.

“Lila?” Scott breathed, staring at me in shock “What are you—”

Before he could get the entire question out, I turned to the gentleman beside me, placing my hands on his shoulders and pulling him toward me.

He went easily, though his eyes showed nothing but confusion. I closed my eyes tightly so I wouldn’t have to see his expression any longer.

Then, our lips touched.

Later, I walked into my class but found,

It was him…

The man I kissed only moments ago in the hallway.

The man I had given my first kiss to, was my professor."
