name,assoc_names,original_language,authors,genres,tags,image_link,description
10-star Player Who Became Stronger by Gacha,"[""The 10-Star Player's Lucky Draw"", '뽑기로 강해진 10성급 플레이어']",korean,['삼편잡가'],"['action', 'adventure', 'fantasy', 'martial arts', 'mystery', 'shounen']","['ability steal', 'abusive characters', 'academy', 'accelerated growth', 'acting', 'adapted to manhwa', 'affair', 'anti-magic', 'apartment life', 'apathetic protagonist', 'apocalypse', 'appearance changes', 'appearance different from actual age', 'aristocracy', 'artifacts', 'assassins', 'award-winning work', 'beast companions', 'blood manipulation', 'body swap', 'butlers', 'calm protagonist', 'character growth', 'clever protagonist', 'comedic undertone', 'complex family relationships', 'conditional power', 'demi-humans', 'demons', 'hidden abilities', 'male protagonist', 'nobles', 'vampires', 'world travel', 'world tree']",https://cdn.novelupdates.com/images/2024/03/star-player-who-became-stronger-by-Gacha.png,
100 Techniques to Conquer the Emperor in the Harem,['在后宫征服皇帝的一百个技巧'],chinese,['菜汪汪'],"['drama', 'historical', 'romance']","['ancient china', 'female protagonist', 'imperial harem']",https://cdn.novelupdates.com/images/2024/02/Techniques-to-Conquer-the-Emperor-in-the-Harem.jpg,"Ever since Yun Li entered the palace, she transformed into a treacherous woman. Duplicitous and insincere, she spends her days acting. When facing the emperor’s favored concubines, she simultaneously taunts them until they’re sick to their stomachs while clutching her chest in feigned distress, lamenting, “I am so envious that you can receive His Majesty’s affection.” In the face of schemes against her, she responds with a slap but then dissolves into tears, crying out, “Why treat a kind-hearted person like me this way?” When speaking with the Empress, she nods absentmindedly, proclaiming, “Her Majesty the Empress is my guiding light! I will always obey her.”"
A Beekeeper in a Magical World,['魔法世界的养蜂人'],chinese,['闲听花语'],"['adventure', 'fantasy', 'slice of life']","['adventurers', 'alternate world', 'calm protagonist', 'elves', 'fantasy world', 'gate to another world', 'herbalist', 'insects', 'magic', 'magic beasts', 'magic formations', 'magical technology', 'male protagonist', 'modern knowledge', 'parallel worlds', 'polite protagonist', 'transported to another world', 'werebeasts', 'wizards']",https://cdn.novelupdates.com/images/2023/11/A-Beekeeper-in-a-Magical-World.jpg,"Facing bankruptcy, a beekeeper crosses over into a magical fantasy world, gaining the ability to control bee swarms. Leveraging magic, he cultivates diverse mutant bee species: efficient honey-collecting bees, formidable combat bees, and entirely new bee species with extraordinary abilities. He explores this fantastical world, bringing back various nectar-bearing flora for cultivation, creating magical honey imbued with enchanting effects, and distributing it to all corners of both worlds. While he becomes renowned as the Honey King of his original world and an elite beekeeper, his fame also spreads in the magical world, where he’s known as the Bee Whisperer of the Black Forest. The latest edition of the “Black Forest Adventure Guide” specifically warns: “Never attempt to provoke him, or his bee swarms will not spare you! Don’t ask me how I know!”"
A Blessed Daughter,"['ABD', 'The Lucky Heiress', '千金有福']",chinese,"['er feng chong', '耳丰虫']","['drama', 'fantasy', 'romance', 'slice of life']","['abandoned children', 'ancient china', 'ancient times', 'business management', 'calm protagonist', 'cold protagonist', 'complex family relationships', 'confident protagonist', 'determined protagonist', 'doctors', 'family conflict', 'farming', 'female protagonist', 'genius protagonist', 'handsome male lead', 'hard-working protagonist', 'hidden abilities', 'hiding true identity', 'late romance', 'low-key protagonist', 'magical space', 'mature protagonist', 'medical knowledge', 'older love interests', 'proactive protagonist', 'protagonist strong from the start', 'royalty', 'secret identity', 'sibling rivalry', 'siblings', 'siblings not related by blood', 'slow romance', 'tragic past', 'transmigration', 'younger brothers', 'younger sisters']",https://cdn.novelupdates.com/images/2023/05/A-Blessed-Daughter.jpg,"Wei Ruo, a highly skilled doctor, was transmigrated as a female supporting role in a novel. She was left neglected in the countryside for ten years and returned back when she was thirteen years old. Seeing that she only knew how to grow flowers, grass and vegetables all day long, everyone thought that she was a peasant woman. As the female supporting role, Wei Ruo did not want to fall in love with the male lead, nor did she want to compete with the female lead. All she was thinking about was to make money, make money, and make money! When the fake daughter was still worried that Wei Ruo’s return would affect her status, Wei Ruo had quietly saved up a private fund. When the fake daughter was still trying to attract the male lead’s attention, Wei Ruo had already made a big fortune. If you want money, you have money, if you want food, you have food, The shop was opened one after another. Later, her brother became the first minister, her father became the general, and the one sitting on the emperor’s chair was her husband."
A Broken Mirror Reunited in an E-Sports,"['An Esports Tale of a Shattered Mirror Made Whole', '一本破镜重圆电竞文']",chinese,['雪怀金封'],"['romance', 'shounen ai', 'sports', 'yaoi']","['calm protagonist', 'cute protagonist', 'doting love interests', 'e-sports', 'early romance', 'gamers', 'handsome male lead', 'hard-working protagonist', 'lovers reunited', 'misunderstandings', 'modern day', 'phobias', 'wealthy characters']",https://cdn.novelupdates.com/images/2023/04/A-Broken-Mirror-Reunited-in-an-ESports.jpg,"Rong Yi is the captain and chief tactician of the top team RS, cool and calm but suffering from camera phobia, and no one has ever seen his true face. After leading his team for five years and winning the championship for three years, he is betrayed by his team and left with nowhere to go. At this point, he receives a call from his ex. His ex is a cold-hearted and popular professional gamer who recently returned from overseas, having won numerous championships. He proposes a simple condition: “Join our team and we can restore our romantic relationship to make work easier.” Rong Yi: “Okay.” But wise men do not fall in love, and competitions are more important than anything. On the first day Rong Yi leaves his old team, his former teammates celebrate his departure, while the entire internet is filled with criticism. On the second day, netizens are silenced as they witness Rong Yi as the new team captain, completely dominating the game. On the third day, the media chases after him, but a low-key senior protects him, covering his face and revealing only a small, exquisitely white chin. The internet explodes with excitement. On and on the days go. Rong Yi’s former teammates are driven to the brink of collapse, asking with red eyes: “Captain, can you still come back?” “I’m sorry,” Rong Yi replies gently. “I’m their captain now.” Everyone knows that Rong Yi is the treasure of the entire VIT team, especially for the cold and reserved senior who shields him from everything and favors him to an infuriating degree. No one knows that this team was built for Rong Yi. From the moment Xiao Yin first saw this dusty gem, he wanted to wipe away the dust and protect Rong Yi’s brilliance. For five years, he has done just that."
A Delicate Story,['故事细腻（1V1 ）'],chinese,['西凉荒草'],"['adult', 'comedy', 'drama', 'mature', 'romance', 'slice of life', 'smut']","['beautiful female lead', 'childhood friends', 'childhood love', 'doctors', 'female protagonist', 'handsome male lead', 'hospital', 'modern day', 'police', 'r-18']",https://cdn.novelupdates.com/images/2023/08/A-Delicate-Story.png,"Between the ages of five and twenty five.
Hua Jingzhi thought about Ruo Bi for twenty years.
In various positions, various locations. Female Doctor for Men VS Rough Male Police Officer A story of years of secret love coming true.
The male lead will be a bit pe*verted in the early stages, the kind of pe*vert who loves the female lead to the point of madness. This kind of beach, this kind of romance, this kind of impression, I love you so hard.
                                      	——JJ Lin “A Delicate Story”"
A Dimensional Portal Opened in My Coffee Shop,['내 커피숍에 차원문이 열렸다'],korean,['주니글왕'],"['adventure', 'comedy', 'fantasy', 'romance', 'slice of life']","['business management', 'farming', 'male protagonist', 'modern day', 'pets', 'store owner', 'transported to another world']",https://cdn.novelupdates.com/images/2023/11/A-Dimensional-Portal-Opened-in-My-Coffee-Shop.png,"One day, as I was closing the coffee shop. “…Where is that fragrance coming from?” I followed the soothing fragrance, and, unexpectedly, a dimensional portal opened in the coffee shop? During the day, a coffee shop; at night, a farmer to another world. A peculiar dimensional portal in an ordinary coffee shop. How about trying a healing experience with various ingredients brought from another world?"
"A Genius Boy Who Was Exiled From His Family Home for “Not Being Able To Use Magic” Becomes a Witch’s Apprentice and Masters All Magic in the Right Way. This Is How You Use Your Magic, You Know?","['Sousei Mahou no Saigensha ~ ""Mahou ga Tsukaenai"" to Jikka wo Tsuihou Sareta Tensai Shounen, Majo no Deshi to Nari Tadashii Houhou de Subete no Mahou wo Kiwamemasu. Anata no Mahou wa, Kou Yatte Tsukau n desu yo? ~', '創成魔法の再現者\u3000～『魔法が使えない』と実家を追放された天才少年、魔女の弟子となり正しい方法で全ての魔法を極めます。貴方の魔法は、こうやって使うんですよ？～']",japanese,"['miwa mohi', 'みわもひ']","['action', 'fantasy', 'harem', 'romance', 'shounen']","['adapted to manga', 'age progression', 'beautiful female lead', 'bloodlines', 'child abuse', 'childhood friends', 'dense protagonist', 'fallen nobility', 'fantasy world', 'love interest falls in love first', 'magic', 'male protagonist', 'master-disciple relationship', 'naive protagonist', 'sword and magic', 'time skip', 'underestimated protagonist', 'weak to strong']",https://cdn.novelupdates.com/images/2022/02/A-Genius-Boy-Who-Was-Exiled-From-His-Family-Home-for-Not-Being-Able-To-Use-Magic-Becomes-a-Witchs-Apprentice-and-Masters-All-Magic-in-the-Right-Way-This-Is-How-You-Use-Your-Magic-You-Know.jpg,"“You’re a failure, don’t ever cross my threshold again!” In a country where magic is everything, especially in a kingdom where everything is determined by the ability of ‘bloodline magic’ that only nobles are born with. Hermes, who was born as the second son of a certain noble family, was found to be a “failure” with no bloodline magic despite his high magical talent, and was exiled from the family. Hermes was almost killed in the depths of his disappointment, but then he was picked up by Rose, a “witch” he met, who saw his talent and made him her apprentice. After five years of training, he returns to King’s Landing with the most powerful magic of all – the ability to recreate all magic – and learns all kinds of magic he never knew he could. He corrects the wrong thinking spreading in the kingdom, saves his childhood friends who suffer from magic, destroys the incompetent position of the bloodline magic-dependent people who banished him, and eventually makes a name for himself as the savior of the kingdom."
A Hospital in Another World?,"[""It's Not That Difficult to Open a Hospital in Another World, Right?"", ""Opening a Hospital in Another World Can't Be That Difficult, Can It?"", '在异界开医院没有那么难吧']",chinese,['加兰2020'],"['adventure', 'fantasy', 'slice of life', 'supernatural', 'xuanhuan']","['adventurers', 'alternate world', 'aristocracy', 'army', 'calm protagonist', 'caring protagonist', 'clever protagonist', 'comedic undertone', 'determined protagonist', 'doctors', 'elemental magic', 'european ambience', 'fantasy world', 'hard-working protagonist', 'healers', 'kingdoms', 'knights', 'loyal subordinates', 'magic', 'magic formations', 'magical technology', 'male protagonist', 'medieval', 'modern knowledge', 'mysterious illness', 'nobles', 'priests', 'religions', 'royalty', 'sword and magic', 'terminal illness', 'transmigration', 'wars', 'wizards']",https://cdn.novelupdates.com/images/2024/01/A-Hospital-in-Another-World.jpg,"The story of an emergency room doctor dying from overwork and crossing into another world. … The sails of the great voyage have been unfurled. The steam engine has yet to roar to life. The glory of the Radiant Lord illuminates the continent, while across the sea, the churches of the gods and mages support the monarchy. Dwarves freely roam the cities of the kingdom, and the legends of werewolves, vampires, elves, and dragons never fade. In such an era, Wu Zhou, an emergency department doctor who died from working overtime, transmigrates into the body of Garrett, a young city guard. Teammate: Oh no! The Captain is seriously injured, his intestines are spilling out! Garrett: Help me up; I can still stitch! Teammate: …What? Garrett: …Apply a healing spell to where I stitched, let it grow… no, first apply it to the stitched layer, then the muscle layer, and so on. Teammate: …What? Garrett: Uh-oh, the healing spell is too fast, the stitches grew inside the wound!!! When modern medicine meets magic and divine arts, what brilliant sparks will it ignite in this New world? Garrett: Learning magic, mastering divine arts, expanding territories, and clashing with the church… whether you believe it or not, I just wanted to open a hospital."
"A New Type of Web Novel That Can Be Enjoyed in 15 Seconds per Chapter: “The Most Eccentric and Beautiful Girl in the School, [Himezaki-San], Confessed to Me!”",['１話15秒で楽しめる新感覚web小説“学園一の変人美少女『姫咲さん』に告られた！”'],japanese,"['koori honoo', 'こおり\u3000ほのお']","['comedy', 'romance', 'school life', 'slice of life']","['beautiful female lead', 'male protagonist', 'modern day']",https://cdn.novelupdates.com/images/2023/12/A-New-Type-of-Web-Novel-That-Can-Be-Enjoyed-in-Seconds-per-Chapter-The-Most-Eccentric-and-Beautiful-Girl-in-the-School-HimezakiSan-Confessed-to-Me.png,"Each chapter is short with less than 300 characters.
It is a heartwarming work that is mostly written in conversation.
Please read it as if it’s a four-panel manga in the newspaper."
A Pet Shelter in the Apocalypse,"['Raising a pet shelter', 'Raising Companions in a Shelter', '반려 쉘터 키우기']",korean,['흙색'],"['action', 'adventure', 'fantasy', 'shounen', 'supernatural']","['apocalypse', 'curses', 'death', 'game elements', 'level system', 'male protagonist', 'special abilities', 'survival', 'weak to strong', 'zombies']",https://cdn.novelupdates.com/images/2024/03/A-Pet-Shelter-in-the-Apocalypse.png,"The world suddenly became a zombie survival game.
Even in that shitty game, ‘my own game’ was rolling."
A Step Out of Line,['越轨（古代舅甥，H）'],chinese,['丢了幸福的猪'],"['adult', 'historical', 'josei', 'mature', 'romance', 'smut']","['ancient china', 'female protagonist', 'first-time interc**rse', 'incest', 'orphans']",https://cdn.novelupdates.com/images/2024/02/A-Step-Out-of-Line-Ancient-Uncle-and-Niece-H.jpg,N/A
