Name,Author,Image Link,Synopsis,Tags
"Mother of Learning","nobody103","https://www.royalroadcdn.com/public/covers-full/21220-mother-of-learning.jpg?time=1637247458","Zorian is a teenage mage of humble birth and slightly above-average skill, attending his third year of education at Cyoria's magical academy. He is a driven and irritable young man, consumed by a desire to ensure his own future and free himself of the influence of his family, whom he resents for favoring his brothers over him. Consequently, he has no time for pointless distractions or paying attention to other people's problems. As it happens, time is something he is about to get plenty of. On the eve of the Cyoria's annual summer festival, he is killed and brought back to the beginning of the month, just before he was about to take a train to Cyoria. Suddenly trapped in a time loop with no clear end or exit, Zorian will have to look both within and without to unravel the mystery before him. And he does have to unravel it, for the time loop hadn't been made for his sake and dangers lurk everywhere... Repetition is the mother of learning, but Zorian will have to first make sure he survives to try again - in a world of magic, even a time traveler isn't safe from those who wish him ill.","Time Loop, Adventure, Fantasy, Mystery, Magic"
"Super Supportive","Sleyca","https://www.royalroadcdn.com/public/covers-large/63759-super-supportive.jpg?time=1691780497","Readers can expect slice of life, darkness, slice of life, comedy, slice of life, action and tons of world building on multiple worlds. I like danger and also alien beverage etiquette. The story will be very, very long. The burn will be slow, and, I hope, better for it. Welcome!","LitRPG, Progression, Super Heroes, Psychological, Male Lead, Adventure, Fantasy, Sci-fi, First Contact, Low Fantasy, Magic, School Life, Slice of Life"
"The Perfect Run","Maxime J. Durand (Void Herald)","https://www.royalroadcdn.com/public/covers-full/36735-the-perfect-run.jpg?time=1604749383","The Perfect Run is now available on Amazon and Audible: Volume 1 (Audiobook), Volume 2 (Audiobook), Volume 3","Time Loop, Anti-Hero Lead, Super Heroes, Comedy, Male Lead, Adventure, Mystery, Sci-fi, Genetically Engineered, Strong Lead, Time Travel"
"The Game at Carousel: A Horror Movie LitRPG","lost_rambler","https://www.royalroadcdn.com/public/covers-large/65629-the-game-at-carousel-a-horror-movie-litrpg.jpg?time=1681708250","Book One is out on Amazon!","LitRPG, Urban Fantasy, Progression, Strategy, Male Lead, Adventure, Fantasy, Horror, Mystery, GameLit, Magic, Strong Lead, Supernatural"
"Cultist of Cerebon - Litrpg/Isekai","Fizzicks","https://www.royalroadcdn.com/public/covers-large/cultist-of-cerebon-aacalxnm1xm.jpg?time=1692506135","When Zareth first realized he had been reborn into a world that seemed to run on video game mechanics, he was ecstatic. He’d expected to go on to live an exciting life filled with danger and adventure. Instead, Zareth spent much of his new life living on the streets of Tal’Qamar before eventually becoming a Cultist to Cerebon, God of Flesh and Transformation.However, being Cultist to the God of Flesh was much less exciting than Zareth had hoped and he now spent most of his time helping rich women smoothen their skin. Just when he had given up hope of his life ever being anything exceptional, everything begins to change when the city of Tal’Qamar enters a period of sharp political turmoil.When Zareth finds himself being dragged into that turmoil, he very quickly learned that he should have been more careful about what he wished for.","LitRPG, Portal Fantasy / Isekai, Ruling Class, Male Lead, Slice of Life, Action, Adventure, Drama, Fantasy, Magic, Reincarnation"
"Magical Girl Gunslinger","Mikasane","https://www.royalroadcdn.com/public/covers-large/48402-magical-girl-gunslinger.jpg?time=1693597835","“Would you like to make a contract?”","LitRPG, Urban Fantasy, Super Heroes, Female Lead, Drama, Action, Adventure, Fantasy, Low Fantasy, Magic, Mythos, School Life, Soft Sci-fi, Supernatural"
"Zenith of Sorcery","nobody103","https://www.royalroadcdn.com/public/covers-large/zenith-of-sorcery-aabaf258nrm.jpg?time=1688592936","A new fantasy story from the author of Mother of Learning.","Progression, Strong Lead, Fantasy, Magic"
"Pale Lights","ErraticErrata","https://www.royalroadcdn.com/public/covers-large/65058-pale-lights.jpg?time=1692988821","From the author of ""A Practical Guide to Evil"", comes the Pale Lights series.","Multiple Lead Characters, Adventure, Fantasy, Horror, Mystery, Low Fantasy, Mythos, Supernatural"
"Beware Of Chicken","Casualfarmer","https://www.royalroadcdn.com/public/covers-full/beware-of-chicken-aacav1xoeg8.jpg?time=1610566797","Jin Rou wanted to be a cultivator who defied the heavens, and surpassed all limits.","Portal Fantasy / Isekai, Xianxia, Comedy, Male Lead, Adventure, Fantasy, Romance, Martial Arts, Reincarnation"
"A Journey of Black and Red","Mecanimus","https://www.royalroadcdn.com/public/covers-large/26675-a-journey-of-black-and-red.jpg?time=1694070241","","Urban Fantasy, Villainous Lead, Female Lead, Action, Adventure, Fantasy, Historical"
"The Last Orellen","sieley","https://www.royalroadcdn.com/public/covers-large/46901-the-last-orellen.jpg?time=1682823863","Taking a brief break to work out a plot issue. I expect to have the next chapter update on: September 16th.","Reincarnation, Progression, Strategy, Male Lead, Secret Identity, Action, Adventure, Fantasy, High Fantasy, Magic"
"Blood & Fur","Maxime J. Durand (Void Herald)","https://www.royalroadcdn.com/public/covers-large/70234-blood-fur.jpg?time=1710701426","A new emperor rules each year in Yohuachanca.","Progression, Anti-Hero Lead, War and Military, Psychological, Male Lead, Adventure, Fantasy, Romance, Dystopia, Magic, Ruling Class, Strategy, Supernatural"
"Soul Guardian - A Devilishly Funny Wholesome Romantic Comedy","TheDeliciousMeats","https://www.royalroadcdn.com/public/covers-large/75175-soul-guardian-a-devilishly-funny-wholesome.jpg?time=1704407003","Things were going great for the demon Bael-Sharoth until a little girl summoned him to open a jar of tomato sauce. Now he's trapped in the human world along with his arch nemesis the beautiful and capable Maharet Flameheart.","Urban Fantasy, Anti-Hero Lead, Comedy, Multiple Lead Characters, Slice of Life, Fantasy, Romance, Satire, Magic, Mythos, Non-Human Lead, School Life, Strong Lead, Supernatural"
"BOC Alternate Universe: Soaring Heaven's Isle","Casualfarmer","https://www.royalroadcdn.com/public/covers-large/76677-boc-alternate-universe-soaring-heavens-isle.jpg?time=1699260138","In one timeline, Shen Yu joked to his frends that he would send his new disciple to Soaring Heaven's Isle, an all-female sect.","Reincarnation, Xianxia, Comedy, Non-Human Lead, Slice of Life, Adventure, Fantasy, Romance, Harem, Male Lead, Martial Arts"
"Downtown Druid","Seersucker","https://www.royalroadcdn.com/public/covers-large/79173-downtown-druid-progression-fantasy.jpg?time=1706571542","Betrayed by his former gang and thrown into the Rendhold Underprison, Dantes has spent the last five years scraping by. A whoreson of orcish, human, and elvish blood, he's lived on the periphery of the periphery, lying, cheating, and stealing to survive. After a run of bad luck, he's made a powerful enemy. Luckily, he's also gotten all the tools he needs to turn things around.","Progression, Anti-Hero Lead, Strategy, Male Lead, Strong Lead, Action, Adventure, Drama, Fantasy, High Fantasy, Villainous Lead"
"Changeling","Mecanimus","https://www.royalroadcdn.com/public/covers-large/75345-changeling.jpg?time=1712108062","Magic came to our world. Portals opened all across the planet, releasing mana and dangerous monsters on the unsuspecting population. Wonder turned to horror. Society was on the verge of collapse, until heroes rose to face the catastrophe. Those fearless men and women wielded the power of mana to enter the portal worlds, plundering their treasures and slaying beasts bullets barely harmed. Through their efforts and sacrifices, mankind stepped into the future. They were called users, or raiders, and they became the champions of mankind.","Urban Fantasy, Dungeon, Female Lead, Contemporary, Action, Adventure, Fantasy, Progression"
"The Butcher of Gadobhra","The Walrus King","https://www.royalroadcdn.com/public/covers-full/43318-the-butcher-of-gadobhra.jpg?time=1634176522","I am currently re-writing the first chapters of this story. They are quite rough and bounce around a lot and I can do better. At some point, I will replace these with the better chapters. Sometime in 2024 Aethon Books will publish the first volume of this story on Amazon, KU, and audible. This will mean the story will be stubbed. I will notify people far in advance of that.","Virtual Reality, Progression, Comedy, Multiple Lead Characters, Slice of Life, Adventure, Fantasy, Satire, Artificial Intelligence, LitRPG, Low Fantasy"
"Rock falls, everyone dies","zechamp","https://www.royalroadcdn.com/public/covers-large/55418-rock-falls-everyone-dies.jpg?time=1710329711","By a stroke of fate, a stone gains sentience and sets out on a grand quest to touch grass.","LitRPG, Anti-Hero Lead, Xianxia, Comedy, Non-Human Lead, Adventure, Fantasy, Satire, High Fantasy, Magic, Strong Lead, Villainous Lead"
"The Land of Broken Roads","Ryan English","https://www.royalroadcdn.com/public/covers-large/the-land-of-broken-roads-76599.jpg?time=1685925960","The age of Man has come and gone. His bright and glorious works are ruins, his heritage scattered and forgotten. Vicious things now walk his empty halls and hunt his empty streets. Men are few in number and huddled far away on the last weary stretches of land that have not cast them out.","Action, Adventure, Fantasy, High Fantasy"
"Tunnel Rat","The Walrus King","https://www.royalroadcdn.com/public/covers-full/tunnel-rat-participant-in-the-royal-road-writathon-aaaav8djira.jpg?time=1635704688","Tunnel Rat is being revised. I have finished the revised manuscript for Book one, which comprises Chapters 1-60.At some point, the first book will be published on Amazon. A few chapters and an outline of the first book will be left here on RR, and the bulk of chapters 1-60 will be removed, stubbing the book. I will give warning before that happens.","Virtual Reality, Progression, Comedy, Non-Human Lead, Action, Adventure, Fantasy, Grimdark, LitRPG, Magic, Male Lead"
"Chasing Sunlight","InadvisablyCompelled","https://www.royalroadcdn.com/public/covers-large/chasing-sunlight-aabavx94hm.jpg?time=1693223694","Book now available on Amazon!","Male Lead, Action, Adventure, Horror, Mythos"
"Menschenjaeger","Turiya","https://www.royalroadcdn.com/public/covers-full/menschenjaeger-aadaaqsyba8.jpg?time=1609620014","In Savlop-2, no one has ever seen the sun.","Post Apocalyptic, Anti-Hero Lead, Female Lead, Sci-fi, Drama, Action, Adventure, Cyberpunk, Dystopia"
"A Nerubian's Journey","Fizzicks","https://www.royalroadcdn.com/public/covers-large/a-nerubians-journey--aaaakyjycbi.jpg?time=1668383751","If he had to be reborn in a fictional world, then he would prefer that world to not be violent.Instead, he was reborn in Azeroth.If he had to be reborn in Azeroth, then he would prefer to be born in a society in which he could live in peace.Instead, he was reborn in a kingdom fated to be destroyed by an evil necromancer intent on creating an army of the undead.If he had to be reborn in a kingdom fated to be destroyed by an evil necromancer intent on creating an army of the undead, then he would prefer to be reborn as a human in Lordaeron.Instead, he was reborn as a nerubian in Azjol-Nerub.Join an unfortunate nerubian on his journey as he tries to live in a world that would very much prefer him to die.","Portal Fantasy / Isekai, Non-Human Lead, Slice of Life, Drama, Action, Adventure, Fantasy, First Contact, Magic, Male Lead, Reincarnation"
"The Power of Ten, Book Five: Versatile Wizardry","RE Druin","https://www.royalroadcdn.com/public/covers-large/64001-the-power-of-ten-book-five-versatile-wizardry.jpg?time=1675195051","(This story is now complete)","LitRPG, Portal Fantasy / Isekai, Female Lead, Action, Adventure, Fantasy, High Fantasy, Magic"
"The Essence of Cultivation","Agranulocytosis","https://www.royalroadcdn.com/public/covers-full/the-essence-of-cultivation-37146.jpg?time=1596484852","After experiencing five years of an adventurer's life, Arcanist Sylar Spellsight now spends his days catching up on developments in Essence Studies and teasing apart the functions of arcane trinkets and artifacts discovered by him and his companions throughout their time travelling the realms of Resham. An unexpected accident during the study of his latest subject of intrigue, however, displaces him across the Planes beyond what any known spell is capable of achieving.","Portal Fantasy / Isekai, Progression, Wuxia, Male Lead, Strong Lead, Action, Adventure, Fantasy, High Fantasy, Magic, Martial Arts"
"A Practical Guide to Sorcery","AzaleaEllis","https://www.royalroadcdn.com/public/covers-large/34009-a-practical-guide-to-sorcery.jpg?time=1687372325","In a world where magic is a science, Siobhan Naught is a genius.","Urban Fantasy, Progression, Anti-Hero Lead, Psychological, Female Lead, Adventure, Drama, Fantasy, Gender Bender, High Fantasy, Low Fantasy, Magic, School Life, Secret Identity, Strong Lead, Supernatural"
"12 Miles Below","Mark Arrows","https://www.royalroadcdn.com/public/covers-large/42367-12-miles-below.jpg?time=1666920024","The world is in ruins.","Progression, Post Apocalyptic, Grimdark, Multiple Lead Characters, Sci-fi, Action, Adventure, Fantasy, Artificial Intelligence, Dystopia, Female Lead, Magic, Male Lead, Strong Lead, Supernatural"
"Vainqueur the Dragon","Maxime J. Durand (Void Herald)","https://www.royalroadcdn.com/public/covers-full/26534-vainqueur-the-dragon.jpg?time=1601898849","Vainqueur now has a Webtoon adaptation!","LitRPG, Anti-Hero Lead, Comedy, Multiple Lead Characters, Strong Lead, Adventure, Fantasy, Satire, Non-Human Lead"
"Fox’s Tongue and Kirin’s Bone","MuffinLance","https://www.royalroadcdn.com/public/covers-full/42226-foxs-tongue-and-kirins-bone.jpg?time=1650853495","Read volume one on Kindle Unlimited, listen on Audible, buy on Amazon, or get a signed copy! Thank you for your support. <3","Anti-Hero Lead, Ruling Class, Secret Identity, Action, Adventure, Fantasy, Mystery, High Fantasy, Magic"
"Systema Delenda Est","InadvisablyCompelled","https://www.royalroadcdn.com/public/covers-large/83315-systema-delenda-est.jpg?time=1711457858","Book One: Invading The System","LitRPG, Non-Human Lead, Sci-fi, Strong Lead, Action, Fantasy, Female Lead, Genetically Engineered, Hard Sci-fi, Male Lead"
"Borne of Desire","Fuggmann","https://www.royalroadcdn.com/public/covers-full/46050-borne-of-desire.jpg?time=1649200459","A man given a new lease on life finds himself amongst pokemon. From his memories of pokemon as a whole, he assumes the power of pokemon and the world around him runs on convenient fate, rule of cool, and cheesy friendship just like any other anime. Unfortunately for everyone else, he's 100% right.","Portal Fantasy / Isekai, Progression, Multiple Lead Characters, Strong Lead, Action, Adventure, Fantasy, Romance, Female Lead, Male Lead, Non-Human Lead, Supernatural"
"Magic Murder Cube Marine - A Hilarious Isekai LitRPG","TheDeliciousMeats","https://www.royalroadcdn.com/public/covers-large/82591-magic-murder-cube-marine-a-hilarious-isekai.jpg?time=1711168033","Author's Note: Don't overthink it, just read it. It's fun and has a great plot to go along with the jokes.","LitRPG, Portal Fantasy / Isekai, Dungeon, War and Military, Comedy, Adventure, Fantasy, Satire, GameLit, High Fantasy, Magic, Male Lead, Strong Lead"
"A Soldier's Life","Alwaysrollsaone","https://www.royalroadcdn.com/public/covers-large/58243-a-soldiers-life.jpg?time=1708538430","Generic story of being transported to another world.  The MC is forced into the military in a fantasy setting and rises through the ranks while keeping his true ability secret.","GameLit, Portal Fantasy / Isekai, Male Lead, Slice of Life, Action, Adventure, Fantasy, Magic"
"Hard Enough","Viva01","https://www.royalroadcdn.com/public/covers-large/hard-enough-aaba8csznri.jpg?time=1664448251","The world of pokemon is synonymous with young boys and girls going on a journey and facing many challenges. This story is not like that. This story is about a SI coming into one of the most prominent companions of the pokemon world. Unlike other stories, Brock is already established and has gone on his journey. He's faced challenges and returned home to be other people's challenges. Which, there's a lot more to than most people realise. Explore an alternate pokemon universe with an expanded cast and more mature ideals through the eyes of Brock, Gym Leader to Pewter City Gym, and family man.","Slice of Life, Drama, Action, Adventure"
"System Reset - Forged in Nightmare","Elessar44","https://www.royalroadcdn.com/public/covers-large/82352-system-reset-forged-in-nightmare-battlesmith.jpg?time=1711326784","Alex Smith had many regrets. A dead end minimum wage job, an estranged sister, and friends that had left him behind. Then the apocalypse happened and fantasy became reality. Except... Alex's reality did not change.","LitRPG, Portal Fantasy / Isekai, Time Travel, Progression, Post Apocalyptic, Action, Adventure, Fantasy, GameLit, High Fantasy, Male Lead"
"Nowhere Stars","Anemone","https://www.royalroadcdn.com/public/covers-large/54237-nowhere-stars.jpg?time=1668028781","Liadain, a girl born terminally ill, has only ever wanted to live — forever, if at all possible. Instead, shortly after her thirteenth birthday, she’s consigned to spend her last months in hospice care.","Anti-Hero Lead, Psychological, Female Lead, Fantasy, Horror, Mystery, High Fantasy, Magic, Mythos, Supernatural"
"Dungeon Devotee","Nixia","https://www.royalroadcdn.com/public/covers-full/51358-dungeon-devotee.jpg?time=1646153611","Through all of Linaria, no dungeon holds such a grip on the dreams of men as the Eternal Depths.  Hundreds throw themselves against its trials each day.  Dozens survive, walking away with power and wealth beyond their wildest dreams… until they go back for more.  One way or another, they all eventually feed the Depths.","LitRPG, Dungeon, Psychological, Male Lead, Strong Lead, Action, Adventure, Fantasy, GameLit, High Fantasy, Magic, Progression"
"The Cabin Is Always Hungry (A Dungeon Core Horror Slasher)","HoppyCobalt","https://www.royalroadcdn.com/public/covers-large/the-cabin-is-always-hungry-a-dungeon-core-horror.jpg?time=1684976522","Mark Castle loves horror movies. But when he died in the hands of a cult, he is reincarnated and forced to become a dungeon core…","LitRPG, Dungeon, Anti-Hero Lead, Psychological, Non-Human Lead, Contemporary, Fantasy, Horror, GameLit, Magic, Male Lead, Progression, Strong Lead, Supernatural, Villainous Lead"
"As Good As Dead","Underboss","https://www.royalroadcdn.com/public/covers-large/as-good-as-dead-aadaeqkknrq.jpg?time=1698797207","What happens when a reincarnation goes horribly wrong?","LitRPG, Reincarnation, Comedy, Fantasy"
"Jackal Among Snakes","Nemorosus","https://www.royalroadcdn.com/public/covers-large/48969-jackal-among-snakes.jpg?time=1712128712","The royal bastard of House Vasquer, Argrave, changed after his stay studying magic at the Tower of the Gray Owl. The sickly man's awkward posture and cruel behavior have been replaced with a neat dignity and acerbic wit. Though once listless, he now strives towards his goals with a life-or-death tenacity. Most come away thinking he seems to know too many details about too much. Few can claim to know his motives or his goals.","GameLit, Portal Fantasy / Isekai, Progression, War and Military, Male Lead, Action, Adventure, Fantasy, High Fantasy, Magic, Strategy"
"Cyber Dreams","PlumParrot","https://www.royalroadcdn.com/public/covers-large/60284-cyber-dreams.jpg?time=1699882439","STUB NOTICE: CYBER DREAMS BOOKS 1 & 2 ARE  AVAILABLE ON KINDLE AND AUDIBLE. AS A RESULT, I'VE HAD TO REMOVE MOST OF THOSE CHAPTERS FROM ROYAL ROAD.","GameLit, Urban Fantasy, Progression, Female Lead, Sci-fi, Action, Adventure, Drama, Artificial Intelligence, Attractive Lead, Cyberpunk, Dystopia, Genetically Engineered, Slice of Life, Soft Sci-fi, Strong Lead, Technologically Engineered"
"Virtuous Sons: A Greco Roman Xianxia","Ya Boy","https://www.royalroadcdn.com/public/covers-large/41330-virtuous-sons-a-greco-roman-xianxia.jpg?time=1664164206","Books one and two now available on Kindle and Kindle Unlimited.","Progression, War and Military, Xianxia, Comedy, Multiple Lead Characters, Adventure, Fantasy, Tragedy, Attractive Lead, Low Fantasy, Magic, Male Lead, Martial Arts, Mythos, Secret Identity, Slice of Life, Strong Lead, Supernatural, Wuxia"
"The Moth of Brightlyre","Haid","https://www.royalroadcdn.com/public/covers-large/83102-the-moth-of-brightlyre.jpg?time=1712420970","Beneath the sky of worms, Insect Gods rule the subterranean world of Brightlyre.","Progression, Non-Human Lead, Strong Lead, Action, Adventure, Fantasy, Mystery, Female Lead, High Fantasy, Magic, Mythos"
"Weeaboo's Unfortunate Isekai: The Necromancer's Gacha","Warby Picus","https://www.royalroadcdn.com/public/covers-large/weeaboos-unfortunate-isekai-the-necromancers-gacha-aaaayabk3rq.jpg?time=1710094932","Hooray! I've been Isekai'ed! Into a gameworld, with waifus everywhere! It's my greatest dream come true! Isekai'ed by... some kind of black robe guy. Who grabbed the wrong guy. And now I have to survive waves of monsters that want to do terrible things to me. Just... awful, awful things. And the game is a gacha game, so I'm desperately trying to earn money to pull for summons. Desperately trying to build fortifications. Furnish my Tower. Gear up. Deal with the existential horror that is life in a gacha game. Because even a weeaboo has a bottom line. And the necromancers who made this game? They gotta pay.","GameLit, Portal Fantasy / Isekai, Dungeon, Comedy, Male Lead, Action, Fantasy, Satire, High Fantasy, Magic, Progression, Slice of Life, Supernatural"
"Syl [A Slime Monster Evolution LitRPG]","Lunadea","https://www.royalroadcdn.com/public/covers-large/77972-syl.jpg?time=1701938559","Our protagonist was set for what should have been a good life; born as a noble prodigy with a talent for Dimension Magic.","LitRPG, Portal Fantasy / Isekai, Progression, Non-Human Lead, Adventure, Fantasy, Magic, Reincarnation"
"Necroepilogos","Hungry","https://www.royalroadcdn.com/public/covers-large/necroepilogos-aabaqy-huxi.jpg?time=1666449928","Nothing walks the black cinder of Earth except the undead leftovers, reanimated by science so advanced it may as well be magic. Twisted into unimaginable forms by flesh-shaping and machine-grafting, the undead are the only remnant of a civilization reduced to bitter ash and organic slurry. Zombies shuffle through the ruins of nuclear fire and biological warfare and far worse, alongside rusted war-machines still holding the posts of a thousand ancient conflicts, dwarfed by god-engines turned so alien that even the extinct necromancers would have run screaming.","Post Apocalyptic, War and Military, Female Lead, Sci-fi, Action, Horror, Romance, Soft Sci-fi"
